연도,월,시도 명,시군구 명,읍면동 명,동리 명,측정소 명,수온,수소이온농도,용존산소,생화학적 산소요구량,화학적 산소요구량,부유물질,총질소,총인
2010,01,전라북도,익산시,망성면,무형리,마산천,4.0,8.7,15.2,4.2,8.7,11.3,8.143,0.508
2010,01,전라북도,부안군,동진면,하장리,고부천2,1.0,7.3,13.7,7.0,16.6,27.2,12.564,0.283
2010,01,전라북도,부안군,동진면,하장리,고부천3,2.0,7.3,14.1,3.8,11.6,29.7,10.823,0.275
2010,01,전라북도,정읍시,영원면,앵성리,고부천1,2.0,7.5,13.3,9.1,12.4,17.2,9.256,0.232
2010,01,전라북도,김제시,부량면,옥정리,동진강3,2.8,7.5,13.7,2.9,9.7,17.3,7.767,0.284
2010,01,전라북도,정읍시,신태인읍,,동진강2,3.0,7.5,14.7,2.5,6.2,5.3,3.561,0.063
2010,01,전라북도,정읍시,옹동면,산성리,동진강1,4.0,7.5,14.0,0.7,2.5,0.5,1.850,0.029
2010,01,전라북도,김제시,죽산면,대창리,원평천3,3.0,8.0,12.9,5.6,11.5,47.2,8.090,0.278
2010,01,전라북도,김제시,봉남면,용신리,원평천1,2.0,7.8,16.0,4.3,7.8,13.1,5.790,0.062
2010,01,전라북도,김제시,죽산면,죽산리,원평천2,3.0,7.5,12.7,3.8,9.7,8.3,4.961,0.157
2010,01,전라북도,정읍시,공평동,,정읍천3,1.0,7.6,12.3,2.2,3.8,1.4,3.488,0.015
2010,01,전라북도,정읍시,송산동,,정읍천1,2.0,7.9,13.1,1.0,1.8,2.7,2.291,0.004
2010,01,전라북도,정읍시,연지동,,정읍천2,3.0,7.8,14.1,1.1,1.9,0.3,3.707,0.009
2010,01,전라북도,정읍시,이평면,하송리,정읍천4,3.3,7.3,12.5,5.0,13.8,26.2,8.528,0.410
2010,01,전라북도,정읍시,하모동,,천원천,2.0,7.6,13.4,3.0,5.5,1.7,3.876,0.020
2010,01,전라북도,완주군,삼례읍,,삼례,8.5,7.3,10.9,7.9,16.5,9.7,10.062,0.429
2010,01,전라북도,군산시,대야면,광교리,탑천,2.3,7.6,12.9,3.5,9.8,15.5,9.495,0.403
2010,01,전라북도,김제시,백구면,백구리,김제,4.8,7.6,10.9,8.8,18.6,16.5,10.300,0.824
2010,01,전라북도,전주시완산구,서신동,,삼천3,3.0,7.7,13.1,4.0,6.3,4.2,3.968,0.123
2010,01,전라북도,전주시완산구,평화동3가,,삼천1,4.0,7.6,13.2,2.4,3.8,3.6,2.297,0.039
2010,01,전라북도,전주시완산구,효자동2가,,삼천2,3.0,7.7,14.5,4.3,7.2,9.8,3.719,0.116
2010,01,전라북도,완주군,소양면,황운리,소양천1,4.0,7.9,13.9,1.0,1.8,0.6,3.790,0.010
2010,01,전라북도,완주군,용진읍,상운리,소양천2,3.0,8.2,14.8,1.8,3.2,1.9,6.977,0.021
2010,01,전라북도,익산시,춘포면,용연리,익산천3,3.5,7.7,4.0,160.1,93.2,87.9,78.148,3.990
2010,01,전라북도,전주시덕진구,고랑동,,전주천7,10.7,6.9,4.6,6.4,24.5,11.4,9.776,0.683
2010,01,전라북도,전주시덕진구,전미동1가,,전주,4.0,7.6,14.1,2.4,4.1,5.5,4.763,0.065
2010,01,전라북도,전주시완산구,대성동,,전주천1,4.0,7.9,15.0,0.7,1.2,0.2,2.510,0.026
2010,01,전라북도,완주군,고산면,읍내리,고산,3.0,7.7,14.3,0.4,2.5,0.7,1.513,0.010
2010,01,전라북도,무주군,무주읍,대차리,무주남대천2,3.0,7.4,15.6,1.2,2.6,0.1,3.539,0.052
